Node,Label
YBR176W,ORF-V
YOR363C,ORF-V
YDR129C,ORF-V
YFR008W,ORF-V
YOR378W,ORF-V
YCLWTY2-1,LTR
YGR108W,ORF-V
YGL161C,ORF-V
YPL124W,ORF-V
YDR289C,ORF-V
YHR190W,ORF-V
YCR024C,ORF-V
YBR090C,ORF-U
YMR278W,ORF-V
YNL077W,ORF-V
YGR254W,ORF-V
YLR306W,ORF-V
YER129W,ORF-V
YDL247W,ORF-V
YMR305C,ORF-V
YOR379C,ORF-DU
YIL099W,ORF-V
YMR089C,ORF-V
YOR174W,ORF-V
YKL197C,ORF-V
YNL219C,ORF-V
YDR391C,ORF-U
YNL246W,ORF-V
YOR237W,ORF-V
YML042W,ORF-V
YJR157W,ORF-DU
YDR162C,ORF-V
YMR182C,ORF-V
YNLWTY1-2,LTR
YOLWDELTA5,LTR
YGR291C,ORF-DU
YEL028W,ORF-U
YLL018C,ORF-V
YJL008C,ORF-V
YHR197W,ORF-V
TR(ACG)L,tRNA gene
YPR002W,ORF-V
YJL184W,ORF-V
YGR063C,ORF-V
YDL230W,ORF-V
YGL245W,ORF-V
YHR015W,ORF-V
YBR122C,ORF-V
YJR124C,ORF-U
YLR442C,ORF-V
YNL288W,ORF-V
YOR039W,ORF-V
YDR256C,ORF-V
YPL073C,ORF-DU
YOR289W,ORF-U
YNL215W,ORF-V
YNL256W,ORF-V
YGL037C,ORF-V
YNL325C,ORF-V
YPL201C,ORF-V
YNL031C,ORF-V
YJL091C,ORF-V
YIL071C,ORF-V
YBR248C,ORF-V
YIL108W,ORF-V
YMRCDELTA10,LTR
YDR074W,ORF-V
YOR102W,ORF-DU
YDL024C,ORF-V
YGR141W,ORF-V
YOR293W,ORF-V
YJL003W,ORF-V
YEL039C,ORF-V
YHR183W,ORF-V
YLR144C,ORF-V
YFR038W,ORF-V
YLR151C,ORF-V
YOL005C,ORF-V
YDR048C,ORF-DU
YLR281C,ORF-U
YDR293C,ORF-V
YDR401W,ORF-DU
YOL155C,ORF-V
YKR104W,ORF-V
YDL017W,ORF-V
YMR151W,ORF-DU
YPR092W,ORF-DU
snr17a,snoRNA gene
YPR104C,ORF-V
YGL112C,ORF-V
YDR465C,ORF-V
YDL043C,ORF-V
YDR489W,ORF-V
YLR312C,ORF-V
YPL043W,ORF-V
YJR113C,ORF-V
YGR222W,ORF-V
YPL136W,ORF-DU
YOR012W,ORF-U
YOR022C,ORF-V
YJL178C,ORF-V
YDR220C,ORF-DU
YOR347C,ORF-V
YLR280C,ORF-DU
YLR053C,ORF-U
YJR104C,ORF-V
YKL065C,ORF-V
SNR48,snoRNA gene
YKR042W,ORF-V
YBR241C,ORF-V
YLR109W,ORF-V
YELCDELTA4,LTR
YHRCDELTA16,LTR
YDRWDELTA31,LTR
YLR096W,ORF-V
YDL067C,ORF-V
YNL194C,ORF-V
YLR048W,ORF-V
YKL115C,ORF-DU
YORWDELTA24,LTR
YIL023C,ORF-V
YMR257C,ORF-V
YKL008C,ORF-V
YDL190C,ORF-V
YDR265W,ORF-V
YBR084W,ORF-V
YPR192W,ORF-V
YNL017C,ORF-DU
YOR226C,ORF-V
YML035C-A,ORF-DU
YBR173C,ORF-V
YGR038W,ORF-V
YCL008C,ORF-V
YLR228C,ORF-V
YJL206C-A,ORF-V
YER132C,ORF-V
YHL017W,ORF-U
YMR193C-A,ORF-U
YBR119W,ORF-V
YLR253W,ORF-V
YJR002W,ORF-V
YER103W,ORF-V
YOR355W,ORF-V
YIL095W,ORF-V
YGL171W,ORF-V
YHL029C,ORF-U
YIL160C,ORF-V
YDR343C,ORF-V
YKR025W,ORF-V
YFR056C,ORF-DU
YDR358W,ORF-V
YFLWTY2-1,LTR
YKL176C,ORF-V
YLR337C,ORF-V
YDL158C,ORF-DU
YHR072W,ORF-V
YPL120W,ORF-V
YKL086W,ORF-V
YBL093C,ORF-V
YJR094C,ORF-V
YLR347C,ORF-V
YGR171C,ORF-V
YCR003W,ORF-V
YGL093W,ORF-V
YLR357W,ORF-V
YIL065C,ORF-V
YPL173W,ORF-V
YHRWDELTA13,LTR
YML107C,ORF-V
YKR065C,ORF-V
YPLWDELTA3,LTR
YDR252W,ORF-V
YBL091C,ORF-V
YGLWDELTA7,LTR
YHL006C,ORF-V
YMR019W,ORF-V
YPR081C,ORF-V
YER066W,ORF-U
YER008C,ORF-V
YDR066C,ORF-V
YKL180W,ORF-V
YMR030W,ORF-V
YDL130W,ORF-V
YLR430W,ORF-V
SNR74,snoRNA gene
YBR290W,ORF-V
TA(AGC)L,tRNA gene
YJL027C,ORF-U
YDL199C,ORF-U
YBR214W,ORF-V
TG(CCC)O,tRNA gene
YNL164C,ORF-V
TQ(UUG)C,tRNA gene
YDL034W,ORF-DU
YPR150W,ORF-DU
YPL046C,ORF-V
YMR268C,ORF-V
YGR252W,ORF-V
YLL061W,ORF-V
YHR114W,ORF-V
YNL244C,ORF-V
YNR075W,ORF-V
YER007C-A,ORF-V
YDR113C,ORF-V
YGL014W,ORF-V
YDL102W,ORF-V
YML121W,ORF-V
YJL058C,ORF-V
YNL058C,ORF-U
YLR062C,ORF-DU
YIL097W,ORF-V
YER084W,ORF-U
YDR064W,ORF-V
YNL272C,ORF-V
YOL100W,ORF-V
YHL001W,ORF-V
YOR094W,ORF-V
YOR176W,ORF-V
YPL010W,ORF-V
YPL081W,ORF-V
YJL214W,ORF-V
YHR138C,ORF-V
YLR036C,ORF-U
YHR043C,ORF-V
YNR068C,ORF-U
YOL057W,ORF-V
YER107C,ORF-V
YDL009C,ORF-U
YOL081W,ORF-V
YGL201C,ORF-V
YDRCDELTA6A,LTR
YGL098W,ORF-V
YLR427W,ORF-V
YGL141W,ORF-V
YPL059W,ORF-V
YJR024C,ORF-V
YLR094C,ORF-V
YBL018C,ORF-V
YKL194C,ORF-V
YER046W,ORF-V
YHR199C,ORF-V
YBR044C,ORF-V
YKL147C,ORF-DU
YKL002W,ORF-V
YNL147W,ORF-V
YCL048W,ORF-V
YDR199W,ORF-DU
YNL177C,ORF-V
YHR059W,ORF-V
YOR004W,ORF-V
YGR248W,ORF-V
YOR142W,ORF-V
YCR092C,ORF-V
YLR262C,ORF-V
YNL034W,ORF-U
YPR017C,ORF-V
