rank,protein,driver_score
347,YDL030W,0.5853028562570773
348,YGL107C,0.5853015491729102
349,YMR234W,0.5850465470934346
350,YGL162W,0.5848282274581055
351,YLR396C,0.5847544503769011
352,YBR052C,0.5846138416547768
353,YGR047C,0.5845540465622594
354,YBR058C,0.5843741248745015
355,YOL006C,0.5843094212620031
356,YHR016C,0.5842078325823986
357,YGL112C,0.5840991125410498
358,YDR457W,0.5840920217595449
359,YPL001W,0.5840227470507179
360,YBL080C,0.5838751939773743
361,YOR142W,0.5837342053728695
362,YHR062C,0.5836065680419538
363,YIL115C,0.5835082001051535
364,YPL211W,0.5834086774886363
365,YOR286W,0.5833252010541601
366,YOR229W,0.5830779918830185
367,YGL070C,0.5828838202840247
368,YDL075W,0.5827654142826101
369,YGL129C,0.5825886627681843
370,YPR178W,0.582528552065
371,YGL014W,0.5824915045979034
372,YPR093C,0.5824022714234226
373,YDR350C,0.5822672969936045
374,YDR301W,0.5821890730566303
375,YMR165C,0.582129315160626
376,YER093C,0.5819478071454868
377,YBR265W,0.5818925729298056
378,YBR053C,0.5817006645101019
379,YHR012W,0.5814903746649257
380,YHR148W,0.5814508509267118
381,YKL161C,0.5813679232376402
382,YPL086C,0.5811901065046984
383,YDR074W,0.5811149072228428
384,YML025C,0.5811039282435949
385,YKL215C,0.5808819647632151
386,YKR028W,0.5806759979284232
387,YIR009W,0.5806206395690681
388,YDL015C,0.5805521367921627
389,YDL077C,0.5804556692681948
390,YKL016C,0.5803288653059226
391,YDL102W,0.5801225358907822
392,YPL249C-A,0.5800469864867909
393,YPL070W,0.5798234971795517
394,YDR237W,0.5796751798426026
395,YIL107C,0.5796542761388331
396,YKR061W,0.5794965446004605
397,YJL138C,0.5793453984085274
398,YNL076W,0.5792688254339707
399,YGL240W,0.5790905307593636
400,YKL116C,0.579058178268214
401,YDR140W,0.5788838752374248
402,YEL042W,0.5787242178793748
403,YIL097W,0.5785598025293102
404,YOR230W,0.5784354764056406
405,YLR409C,0.5782577286476076
406,YDR489W,0.5782144616194189
407,YMR177W,0.5781998556763293
408,YNR030W,0.5780338649460894
409,YER110C,0.5780080575105314
410,YLR183C,0.577877874617221
411,YGL133W,0.5778403293354687
412,YOR276W,0.5777834188477573
413,YKL167C,0.57766064378276
414,YGR026W,0.5775418512896049
415,YBR211C,0.5773970101307583
416,YKR017C,0.5773751526395966
417,YPR023C,0.5773151282601685
418,YLL011W,0.5771403550129113
419,YMR134W,0.5771075518618946
420,YDR001C,0.5769532918778066
421,YLR071C,0.5768848654514607
422,YPL206C,0.5767495626235463
423,YFL017W-A,0.5766812687158692
424,YOR108W,0.5765800885472533
