rank,protein,driver_score
457,YFL020C,0.5814769437049707
458,YDR061W,0.5813919334273076
459,YHR039C,0.5812678468212896
460,YGR079W,0.5811687088297225
461,YDR148C,0.5810921887010271
462,YML034W,0.5809769180981553
463,YDL149W,0.5808700474191847
464,YPR171W,0.5807686268431821
465,YAL012W,0.5806863396612081
466,YJR051W,0.5805476986797978
467,YKL023W,0.5804462788566433
468,YOL002C,0.580365519808654
469,YGL147C,0.580246993099179
470,YLR373C,0.5801731150253444
471,YDL129W,0.5801324654527321
472,YOR344C,0.5800207110050977
473,YDR459C,0.5799064910362931
474,YPL158C,0.5798033800211309
475,YHR014W,0.5797144935456477
476,YHR036W,0.5796158868714641
477,YDL192W,0.5795190807520983
478,YMR020W,0.57945719504878
479,YMR047C,0.5793460309966232
480,YNL191W,0.5793231996139895
481,YBR265W,0.5792516285531313
482,YMR193W,0.5791252202796162
483,YNR069C,0.5790795278354831
484,YER036C,0.5789795262144223
485,YPR148C,0.5788611605643449
486,YOR294W,0.5787531360524254
487,YMR267W,0.5786615275615811
488,YIL024C,0.5785516208233904
489,YBL006C,0.5784518727048409
490,YNL039W,0.5783496645475714
491,YIL014W,0.5782549996211465
492,YHR022C,0.5781507312674461
493,YLR370C,0.5780556054538479
494,YLR392C,0.5779358036230784
495,YJR017C,0.5778569971752198
496,YPL241C,0.5777593723511356
497,YNL032W,0.5776691155476829
498,YNR028W,0.5776380942323057
499,YBR025C,0.5775296234708285
500,YMR055C,0.5774193450211571
501,YBR215W,0.5773230591045632
502,YOR131C,0.5772220833157196
503,YDR427W,0.5771236320675616
504,YLR121C,0.5770714514469444
505,YLR335W,0.5769619593124846
506,YHR089C,0.5768527514785277
507,YLL051C,0.5767595248915267
508,YOR321W,0.5766692202151205
509,YBL034C,0.5765624572447662
510,YER157W,0.576460916150111
511,YFL018C,0.5763676000008666
512,YIL071C,0.5763091744397758
513,YPL178W,0.5761937615125167
514,YHR142W,0.5760834882916789
515,YKL024C,0.5760112641760566
516,YDL239C,0.5759681695961688
517,YPR184W,0.5758878006174313
518,YGL221C,0.5757814548966438
519,YDR468C,0.5756860866260214
520,YOL151W,0.5756019207548001
521,YEL018W,0.5754996802055953
522,YDR113C,0.5754008444189745
523,YCL029C,0.575316703905085
524,YFL017C,0.5752306392871506
525,YGL090W,0.575133626196274
