index,protein,dc
934,YMR004W,6.5476
935,YHL003C,13.0952
936,YLR275W,3.2738
937,YJR057W,3.2738
938,YOR232W,3.2738
939,YCL056C,16.369
940,YAR035W,3.2738
941,YMR261C,3.2738
942,YMR029C,3.2738
943,YJR102C,16.369
944,YDR098C,3.2738
945,YGL112C,3.2738
946,YLR215C,9.8214
947,YJL125C,3.2738
948,YDL005C,6.5476
949,YNL267W,3.2738
950,YLR135W,3.2738
951,YPL108W,3.2738
952,YGR144W,9.8214
953,YDL189W,13.0952
954,YAL032C,26.190400000000004
955,YAR007C,3.2738
956,YMR257C,3.2738
957,YIL008W,3.2738
958,YMR223W,3.2738
959,YJR058C,6.5476
960,YBR264C,3.2738
961,YER071C,3.2738
962,YBR101C,3.2738
963,YDR239C,3.2738
964,YHR158C,9.8214
965,YMR071C,29.464200000000005
966,YPL151C,3.2738
967,YLR227C,9.8214
968,YLR098C,29.464200000000005
969,YLR181C,9.8214
970,YHR111W,16.369
971,YML097C,3.2738
972,YKL098W,3.2738
973,YOL107W,3.2738
974,YLR293C,16.369
975,YML110C,13.0952
976,YML042W,16.369
977,YGR209C,6.5476
978,YNL229C,32.73800000000001
979,YJR052W,3.2738
980,YDR446W,3.2738
981,YIL105C,3.2738
982,YPL235W,3.2738
983,YGL134W,6.5476
984,YDL106C,3.2738
985,YDL056W,3.2738
986,YNL098C,3.2738
987,YHR098C,3.2738
988,YDL025C,3.2738
989,YJR074W,3.2738
990,YPL034W,3.2738
991,YOR123C,3.2738
992,YFL047W,3.2738
993,YEL048C,3.2738
994,YOL061W,3.2738
995,YBR249C,3.2738
996,YJR068W,13.0952
997,YHR106W,3.2738
998,YLR321C,13.0952
999,YGL036W,3.2738
1000,YDR171W,9.8214
1001,YOR229W,19.6428
1002,YOR269W,3.2738
1003,YNL094W,19.6428
1004,YDL195W,6.5476
1005,YGL058W,3.2738
1006,YML056C,3.2738
1007,YLR208W,6.5476
1008,YDR162C,3.2738
1009,YGL004C,6.5476
1010,YOL145C,13.0952
1011,YPL002C,6.5476
1012,YJL103C,3.2738
1013,YHR187W,3.2738
1014,YNR052C,13.0952
1015,YLR386W,22.916600000000003
1016,YPR152C,9.8214
1017,YBR261C,124.40439999999991
1018,YJR093C,3.2738
1019,YMR092C,3.2738
1020,YBR103W,13.0952
1021,YDR244W,6.5476
1022,YKL189W,19.6428
1023,YKL001C,3.2738
1024,YDL066W,3.2738
1025,YGL225W,16.369
1026,YIR025W,3.2738
1027,YGL094C,3.2738
1028,YDR051C,3.2738
1029,YHR112C,13.0952
1030,YGR081C,3.2738
1031,YGL156W,6.5476
1032,YGL170C,3.2738
1033,YGL247W,3.2738
1034,YCR063W,6.5476
1035,YCR020C,3.2738
1036,YNL024C,3.2738
1037,YAR028W,6.5476
1038,YGR088W,9.8214
1039,YDR107C,3.2738
1040,YKL212W,3.2738
1041,YOL130W,3.2738
1042,YJL138C,3.2738
1043,YFL029C,3.2738
1044,YDR361C,22.916600000000003
1045,YMR043W,3.2738
1046,YDR486C,3.2738
1047,YPR135W,9.8214
1048,YOR322C,3.2738
1049,YOR109W,3.2738
1050,YPL269W,3.2738
1051,YLR058C,3.2738
1052,YBR122C,3.2738
1053,YDR001C,3.2738
1054,YHR185C,9.8214
1055,YOL083W,19.6428
1056,YLR175W,6.5476
1057,YMR218C,6.5476
1058,YKR072C,3.2738
1059,YOR043W,6.5476
